,date,기온,풍향,풍속,강수량,습도,PM2.5
0,0000010100,0.2369668246445497,0.9111111111111112,0.1023017902813299,0.0,0.706,0.044
1,0000010101,0.2306477093206951,0.9225,0.0741687979539642,0.0,0.685,0.032
2,0000010102,0.2322274881516587,0.9069444444444444,0.1150895140664961,0.0,0.7070000000000001,0.036
3,0000010103,0.2306477093206951,0.8841666666666668,0.1074168797953964,0.0,0.7050000000000001,0.028
4,0000010104,0.2259083728278041,0.8719444444444444,0.1150895140664961,0.0,0.6339999999999999,0.028
5,0000010105,0.2274881516587678,0.8916666666666667,0.1099744245524296,0.0,0.663,0.032
6,0000010106,0.2274881516587678,0.8886111111111111,0.1227621483375959,0.0,0.6859999999999999,0.028
7,0000010107,0.2401263823064771,0.8916666666666667,0.1074168797953964,0.0,0.652,0.032
8,0000010108,0.2527646129541864,0.9088888888888887,0.0716112531969309,0.0,0.596,0.024
9,0000010109,0.2654028436018957,0.9055555555555556,0.0843989769820971,0.0,0.5800000000000001,0.02
10,0000010110,0.2606635071090047,0.9125,0.0741687979539642,0.0,0.643,0.024
11,0000010111,0.2717219589257504,0.8647222222222223,0.0690537084398977,0.0,0.658,0.032
12,0000010112,0.2796208530805687,0.8963888888888889,0.0588235294117647,0.0,0.601,0.036
13,0000010113,0.2812006319115324,0.8766666666666668,0.0639386189258312,0.0,0.567,0.024
14,0000010114,0.2843601895734597,0.055,0.0204603580562659,0.0,0.522,0.028
15,0000010115,0.2764612954186414,0.9191666666666668,0.0306905370843989,0.0,0.521,0.04
16,0000010116,0.2859399684044234,0.9425,0.0255754475703324,0.0,0.473,0.028
17,0000010117,0.2890995260663507,0.0,0.0102301790281329,0.0,0.522,0.016
18,0000010118,0.292259083728278,0.5561111111111111,0.0511508951406649,0.0,0.571,0.008
19,0000010119,0.292259083728278,0.5794444444444444,0.0613810741687979,0.0,0.604,0.024
20,0000010120,0.3001579778830964,0.5725,0.0511508951406649,0.0,0.632,0.04
21,0000010121,0.3080568720379147,0.4602777777777778,0.0664961636828644,0.0,0.6339999999999999,0.044
22,0000010122,0.2875197472353871,0.2619444444444444,0.1304347826086956,0.0,0.7120000000000001,0.072
23,0000010123,0.282780410742496,0.2663888888888889,0.1560102301790281,0.0,0.79,0.064
24,0000010200,0.273301737756714,0.2780555555555555,0.1457800511508951,0.0,0.8350000000000001,0.08
25,0000010201,0.2890995260663507,0.3686111111111111,0.1432225063938619,0.0,0.8470000000000001,0.092
26,0000010202,0.2875197472353871,0.2763888888888889,0.1125319693094629,0.0,0.878,0.08
27,0000010203,0.296998420221169,0.2927777777777778,0.0869565217391304,0.0,0.88,0.07803496606235125
28,0000010204,0.3080568720379147,0.3077777777777777,0.0716112531969309,0.0,0.8770000000000001,0.07803496606235125
29,0000010205,0.30173775671406,0.1955555555555555,0.0255754475703324,0.0,0.8620000000000001,0.07803496606235125
30,0000010206,0.292259083728278,0.1997222222222222,0.1048593350383631,0.0,0.885,0.07803496606235125
31,0000010207,0.3033175355450237,0.2133333333333333,0.0997442455242966,0.0,0.8889999999999999,0.07803496606235125
32,0000010208,0.330173775671406,0.1958333333333333,0.0306905370843989,0.0,0.8059999999999999,0.07803496606235125
33,0000010209,0.3554502369668246,0.2002777777777777,0.0562659846547314,0.0,0.763,0.07803496606235125
34,0000010210,0.368088467614534,0.1677777777777777,0.0613810741687979,0.0,0.7520000000000001,0.07803496606235125
35,0000010211,0.382306477093207,0.1827777777777778,0.0434782608695652,0.0,0.734,0.184
36,0000010212,0.377567140600316,0.2030555555555555,0.0741687979539642,0.0,0.772,0.164
37,0000010213,0.3886255924170616,0.1747222222222222,0.0409207161125319,0.0,0.767,0.212
38,0000010214,0.3933649289099526,0.1388888888888889,0.0588235294117647,0.0,0.76,0.18
39,0000010215,0.3854660347551343,0.1858333333333333,0.0639386189258312,0.0,0.8,0.116
40,0000010216,0.377567140600316,0.2027777777777777,0.0818414322250639,0.0,0.838,0.196
41,0000010217,0.3759873617693523,0.2116666666666666,0.0741687979539642,0.0,0.8059999999999999,0.28
42,0000010218,0.3807266982622433,0.2177777777777778,0.0409207161125319,0.0,0.7689999999999999,0.28
43,0000010219,0.3665086887835703,0.2297222222222222,0.0434782608695652,0.0,0.767,0.252
44,0000010220,0.3601895734597157,0.1938888888888889,0.0741687979539642,0.0,0.78,0.07803496606235125
45,0000010221,0.3570300157977883,0.2461111111111111,0.0383631713554987,0.0,0.797,0.07803496606235125
